,Source airport ID,OutFlight,InFlight,TotalFlight,Airlines,Airport ID,Name,City,Country,IATA/FAA,Latitude,Longitude,Altitude
1305,33.0,2.0,2.0,4.0,"['AC', 'WS']",33,Nanaimo,Nanaimo,Canada,YCD,49.052333000000004,-123.870167,93
1306,34.0,2.0,2.0,4.0,['AC'],34,Castlegar,Castlegar,Canada,YCG,49.296389000000005,-117.6325,1624
1307,45.0,5.0,5.0,10.0,"['AC', 'WS']",45,Deer Lake,Deer Lake,Canada,YDF,49.210833,-57.391388,72
1308,56.0,4.0,4.0,8.0,['AC'],56,Fredericton,Fredericton,Canada,YFC,45.868889,-66.537222,68
1309,61.0,1.0,1.0,2.0,['AC'],61,Kingston,Kingston,Canada,YGK,44.225277,-76.596944,305
1310,63.0,2.0,2.0,4.0,['AC'],63,Gaspe,Gaspe,Canada,YGP,48.775278,-64.478611,108
1311,65.0,1.0,1.0,2.0,['AC'],65,Iles De La Madeleine,Iles De La Madeleine,Canada,YGR,47.424721000000005,-61.77805600000001,35
1312,78.0,3.0,3.0,6.0,"['AC', 'WS']",78,Kamloops,Kamloops,Canada,YKA,50.702222,-120.44444399999999,1133
1313,90.0,12.0,13.0,25.0,"['WS', 'AC', 'KL', 'UA', 'J3']",90,Fort Mcmurray,Fort Mcmurray,Canada,YMM,56.653332999999996,-111.221944,1211
1314,108.0,2.0,2.0,4.0,"['AC', 'BH']",108,Prince Rupert,Prince Pupert,Canada,YPR,54.28611,-130.44472199999998,116
1315,112.0,3.0,3.0,6.0,"['AC', 'J3']",112,Red Deer Regional,Red Deer Industrial,Canada,YQF,52.182221999999996,-113.894444,2968
1316,113.0,3.0,3.0,6.0,"['AC', 'WS', 'PD']",113,Windsor,Windsor,Canada,YQG,42.275556,-82.955556,622
1317,116.0,1.0,1.0,2.0,['AC'],116,Lethbridge,Lethbridge,Canada,YQL,49.630278000000004,-112.799722,3047
1318,117.0,10.0,10.0,20.0,"['WS', 'AC', 'UA', 'TS', 'PD']",117,Greater Moncton Intl,Moncton,Canada,YQM,46.112221000000005,-64.678611,232
1319,120.0,16.0,17.0,33.0,"['WS', 'AC', 'UA', 'DL', 'KL']",120,Regina Intl,Regina,Canada,YQR,50.431944,-104.66583299999999,1894
1320,121.0,10.0,11.0,21.0,"['AC', 'WS', 'JV', 'PD']",121,Thunder Bay,Thunder Bay,Canada,YQT,48.371944,-89.32388900000001,653
1321,122.0,4.0,4.0,8.0,"['AC', 'WS']",122,Grande Prairie,Grande Prairie,Canada,YQU,55.179722,-118.885,2195
1322,125.0,3.0,3.0,6.0,['AC'],125,Gander Intl,Gander,Canada,YQX,48.936944,-54.568056000000006,496
1323,126.0,2.0,2.0,4.0,['AC'],126,Sydney,Sydney,Canada,YQY,46.161388,-60.047779000000006,203
1324,127.0,2.0,2.0,4.0,['AC'],127,Quesnel,Quesnel,Canada,YQZ,53.026112,-122.510278,1789
1325,133.0,6.0,5.0,11.0,"['AC', 'JV', 'PD']",133,Sudbury,Sudbury,Canada,YSB,46.625,-80.798889,1141
1326,135.0,3.0,3.0,6.0,['AC'],135,Saint John,St. John,Canada,YSJ,45.316111,-65.89027800000001,357
1327,143.0,4.0,5.0,9.0,"['AC', 'JV', 'PD']",143,Timmins,Timmins,Canada,YTS,48.569721,-81.376667,967
1328,144.0,14.0,14.0,28.0,"['AC', 'PD']",144,City Centre,Toronto,Canada,YTZ,43.627499,-79.396167,251
1329,149.0,2.0,2.0,4.0,['AC'],149,Rouyn Noranda,Rouyn,Canada,YUY,48.206111,-78.83555600000001,988
1330,153.0,2.0,2.0,4.0,['AC'],153,Val D Or,Val D'or,Canada,YVO,48.053333,-77.78277800000001,1107
1331,161.0,4.0,4.0,8.0,"['Q9', 'AC']",161,Wabush,Wabush,Canada,YWK,52.921943999999996,-66.86444399999999,1808
1332,166.0,15.0,15.0,30.0,"['WS', 'AC', 'UA', 'DL']",166,Saskatoon J G Diefenbaker Intl,Saskatoon,Canada,YXE,52.170834,-106.699722,1653
1333,167.0,1.0,1.0,2.0,['AC'],167,Medicine Hat,Medicine Hat,Canada,YXH,50.01889,-110.72083300000001,2352
1334,168.0,3.0,3.0,6.0,"['AC', 'WS']",168,Fort St John,Fort Saint John,Canada,YXJ,56.23805600000001,-120.740278,2280
1335,172.0,3.0,3.0,6.0,"['AC', 'WS']",172,Prince George,Prince George,Canada,YXS,53.889444,-122.67888899999998,2267
