Airline,Name,Country,0,1,2,Number Countries,Favorite Airport ID,Favorite Airport Name,Favorite Airport City,Favorite Airport Country
JA,Air Bosna,Bosnia and Herzegovina,10.0,0.0,0.0,5,1646.0,Sarajevo,Sarajevo,Bosnia and Herzegovina
JB,Helijet,Canada,2.0,0.0,0.0,1,4106.0,Victoria Inner Harbour Airport,Victoria,Canada
JD,Japan Air System,Japan,158.0,52.0,0.0,1,4030.0,Phoenix International,Sanya,China
JE,Mango,South Africa,16.0,2.0,0.0,2,797.0,Cape Town Intl,Cape Town,South Africa
JH,Fuji Dream Airlines,Japan,24.0,0.0,0.0,1,5997.0,Nagoya Airport,Nagoya,Japan
JJ,TAM Brazilian Airlines,Brazil,193.0,80.0,60.0,18,2564.0,Guarulhos Gov Andre Franco Montouro,Sao Paulo,Brazil
JL,Japan Airlines,Japan,217.0,61.0,110.0,27,2279.0,Narita Intl,Tokyo,Japan
JN,Excel Airways,United Kingdom,8.0,0.0,0.0,2,1190.0,Tirana Rinas,Tirana,Albania
JP,Adria Airways,Slovenia,38.0,2.0,0.0,17,1569.0,Ljubljana,Ljubljana,Slovenia
JQ,Jetstar Airways,Australia,60.0,57.0,46.0,8,3339.0,Melbourne Intl,Melbourne,Australia
JS,Air Koryo,Democratic People's Republic of Korea,6.0,0.0,2.0,4,3377.0,Pyongyang Intl,Pyongyang,Korea
JT,Lion Mentari Airlines,Indonesia,222.0,20.0,3.0,5,3275.0,Soekarno Hatta Intl,Jakarta,Indonesia
JU,Jat Airways,Serbia,63.0,12.0,2.0,28,1739.0,Beograd,Belgrade,Serbia
JV,Bearskin Lake Air Service,Canada,39.0,0.0,0.0,1,121.0,Thunder Bay,Thunder Bay,Canada
JW,Arrow Air,United States,4.0,4.0,0.0,3,2279.0,Narita Intl,Tokyo,Japan
JY,Aereonautica militare,Italy,28.0,0.0,0.0,6,1754.0,Providenciales,Providenciales,Turks and Caicos Islands
K2,Eurolot,Poland,36.0,0.0,0.0,8,668.0,Lech Walesa,Gdansk,Poland
K5,SeaPort Airlines,United States,39.0,0.0,0.0,1,3492.0,Juneau Intl,Juneau,United States
K6,Cambodia Angkor Air (K6),Cambodia,18.0,4.0,0.0,4,3035.0,Siem Reap,Siem-reap,Cambodia
K8,Zambia Skyways,Zambia,8.0,0.0,0.0,1,3931.0,Chiang Mai Intl,Chiang Mai,Thailand
KA,Dragonair,DRAGON,58.0,32.0,6.0,17,3077.0,Hong Kong Intl,Hong Kong,Hong Kong
KB,Druk Air,Bhutan,12.0,8.0,0.0,6,3155.0,Paro,Thimphu,Bhutan
KC,Air Astana,Kazakhstan,50.0,32.0,36.0,21,2908.0,Almaty,Alma-ata,Kazakhstan
KE,Korean Air,Republic of Korea,136.0,35.0,121.0,46,3930.0,Incheon Intl,Seoul,South Korea
KK,Atlasjet,Turkey,24.0,8.0,0.0,7,1701.0,Ataturk,Istanbul,Turkey
KL,KLM Royal Dutch Airlines,Netherlands,510.0,110.0,210.0,97,3682.0,Hartsfield Jackson Atlanta Intl,Atlanta,United States
KM,Air Malta,Malta,36.0,48.0,0.0,18,1606.0,Luqa,Malta,Malta
KN,China United,China,72.0,18.0,0.0,1,6341.0,Beijing Nanyuan Airport,Beijing,China
KQ,Kenya Airways,Kenya,63.0,46.0,33.0,44,4059.0,Jomo Kenyatta International,Nairobi,Kenya
KR,Comores Airlines,Comoros,4.0,16.0,2.0,3,2912.0,Manas,Bishkek,Kyrgyzstan
KS,Peninsula Airways,United States,28.0,0.0,0.0,1,3774.0,Ted Stevens Anchorage Intl,Anchorage,United States
KU,Kuwait Airways,Kuwait,32.0,23.0,24.0,28,2176.0,Kuwait Intl,Kuwait,Kuwait
KX,Cayman Airways,Cayman Islands,19.0,4.0,0.0,5,1926.0,Owen Roberts Intl,Georgetown,Cayman Islands
KY,KSY,Greece,38.0,14.0,0.0,1,3382.0,Wujiaba,Kunming,China
L6,Mauritania Airlines International,Mauritania,16.0,8.0,0.0,10,245.0,Cadjehoun,Cotonou,Benin
LA,LAN Airlines,Chile,176.0,44.0,63.0,21,2650.0,Arturo Merino Benitez Intl,Santiago,Chile
LC,Varig Log,Brazil,6.0,4.0,4.0,4,883.0,Maya Maya,Brazzaville,Congo (Brazzaville)
LF,FlyNordic,Sweden,4.0,0.0,0.0,2,3120.0,Wattay Intl,Vientiane,Laos
LG,Luxair,Luxembourg,66.0,38.0,6.0,20,629.0,Luxembourg,Luxemburg,Luxembourg
LH,Lufthansa,Germany,515.0,111.0,297.0,96,340.0,Frankfurt Main,Frankfurt,Germany
LI,Leeward Islands Air Transport,Antigua and Barbuda,62.0,0.0,0.0,17,2874.0,V C Bird Intl,Antigua,Antigua and Barbuda
LJ,Jin Air,South Korea,10.0,6.0,10.0,9,3930.0,Incheon Intl,Seoul,South Korea
LM,Linhas A,Mozambique,20.0,0.0,0.0,1,529.0,Kirkwall,Kirkwall,United Kingdom
LN,Libyan Arab Airlines,Libya,54.0,20.0,0.0,10,1157.0,Tripoli Intl,Tripoli,Libya
LO,LOT Polish Airlines,Poland,96.0,16.0,8.0,34,679.0,Okecie,Warsaw,Poland
LR,LACSA,Costa Rica,24.0,0.0,0.0,3,1885.0,Juan Santamaria Intl,San Jose,Costa Rica
LS,Jet2.com,United Kingdom,48.0,188.0,66.0,16,478.0,Manchester,Manchester,United Kingdom
LT,LTU International,Germany,10.0,2.0,0.0,6,3959.0,Vilnius Intl,Vilnius,Lithuania
LV,Albanian Airlines,Albania,0.0,0.0,4.0,2,3156.0,Male Intl,Male,Maldives
LW,Pacific Wings,United States,10.0,0.0,0.0,1,3714.0,Washington Dulles Intl,Washington,United States
LX,Swiss International Air Lines,Switzerland,166.0,50.0,74.0,50,1678.0,Zurich,Zurich,Switzerland
LY,El Al Israel Airlines,Israel,5.0,34.0,34.0,26,1590.0,Ben Gurion,Tel-aviv,Israel
M3,ABSA - Aerolinhas Brasileiras,Brazil,6.0,0.0,0.0,2,644.0,Gardermoen,Oslo,Norway
M4,Marysya Airlines,Russia,19.0,0.0,0.0,2,1128.0,Cairo Intl,Cairo,Egypt
M5,Kenmore Air,United States,14.0,0.0,0.0,2,6457.0,Kenmore Air Harbor Seaplane Base,Seattle,United States
M6,Amerijet International,United States,7.0,0.0,0.0,1,2526.0,Val De Cans Intl,Belem,Brazil
M9,Motor Sich,Ukraine,6.0,0.0,0.0,2,2944.0,Zhuliany Intl,Kiev,Ukraine
MD,Air Madagascar,Madagascar,63.0,6.0,6.0,12,918.0,Ivato,Antananarivo,Madagascar
ME,Middle East Airlines,Lebanon,33.0,20.0,12.0,24,2177.0,Rafic Hariri Intl,Beirut,Lebanon
MF,Xiamen Airlines,China,306.0,70.0,8.0,9,3383.0,Gaoqi,Xiamen,China
MH,Malaysia Airlines,Malaysia,192.0,47.0,97.0,41,3304.0,Kuala Lumpur Intl,Kuala Lumpur,Malaysia
MI,SilkAir,Singapore,39.0,32.0,22.0,13,3316.0,Changi Intl,Singapore,Singapore
MJ,L,Argentina,17.0,14.0,21.0,14,3024.0,Bandaranaike Intl Colombo,Colombo,Sri Lanka
MK,Air Mauritius,Mauritius,13.0,2.0,28.0,15,893.0,Sir Seewoosagur Ramgoolam Intl,Plaisance,Mauritius
MM,Peach Aviation,Japan,24.0,8.0,0.0,4,3992.0,Kansai,Osaka,Japan
MN,Comair,South Africa,14.0,0.0,0.0,1,813.0,Johannesburg Intl,Johannesburg,South Africa
MO,Abu Dhabi Amiri Flight,United Arab Emirates,50.0,1.0,1.0,1,132.0,Rankin Inlet,Rankin Inlet,Canada
MR,Homer Air,Germany,15.0,2.0,2.0,4,3380.0,Chinggis Khaan Intl,Ulan Bator,Mongolia
MS,Egyptair,Egypt,75.0,76.0,54.0,55,1128.0,Cairo Intl,Cairo,Egypt
MU,China Eastern Airlines,China,936.0,231.0,76.0,34,3406.0,Pudong,Shanghai,China
MW,Maya Island Air,Belize,19.0,0.0,0.0,1,3456.0,Kahului,Kahului,United States
MY,Midwest Airlines (Egypt),Egypt,18.0,0.0,0.0,1,1957.0,Philip S W Goldson Intl,Belize City,Belize
N3,Omskavia Airline,Russia,4.0,0.0,0.0,3,5811.0,Dr Joaquin Balaguer International Airport,La Isabela,Dominican Republic
NF,Air Vanuatu,Vanuatu,84.0,8.0,0.0,5,1997.0,Port Vila Bauerfield,Port-vila,Vanuatu
NH,All Nippon Airways,Japan,322.0,100.0,123.0,27,2359.0,Tokyo Intl,Tokyo,Japan
NHG,NHT Lineas Aereas,Brazil,34.0,0.0,0.0,1,2599.0,Salgado Filho,Porto Alegre,Brazil
NK,Spirit Airlines,United States,108.0,122.0,12.0,18,3533.0,Fort Lauderdale Hollywood Intl,Fort Lauderdale,United States
NL,Shaheen Air International,Pakistan,20.0,36.0,8.0,6,2207.0,Allama Iqbal Intl,Lahore,Pakistan
NP,Nile Air,Egypt,14.0,2.0,0.0,3,1128.0,Cairo Intl,Cairo,Egypt
NS,Caucasus Airlines,Georgia,52.0,8.0,0.0,1,6347.0,Shijiazhuang Daguocun International Airport,Shijiazhuang,China
NT,Binter Canarias,Spain,40.0,6.0,0.0,7,1054.0,Gran Canaria,Gran Canaria,Spain
NU,Japan Transocean Air,Japan,16.0,6.0,0.0,1,2384.0,Naha,Okinawa,Japan
NX,Air Macau,Macao,34.0,20.0,2.0,8,3121.0,Macau Intl,Macau,Macau
NY,Air Iceland,Iceland,10.0,0.0,0.0,2,18.0,Reykjavik,Reykjavik,Iceland
NZ,Air New Zealand,New Zealand,131.0,48.0,52.0,21,2006.0,Auckland Intl,Auckland,New Zealand
O6,Oceanair,Brazil,80.0,24.0,0.0,1,2531.0,Presidente Juscelino Kubitschek,Brasilia,Brazil
OA,Olympic Airlines,Greece,94.0,16.0,0.0,10,3941.0,Eleftherios Venizelos Intl,Athens,Greece
OB,Astrakhan Airlines,Russia,21.0,5.0,2.0,4,2771.0,Viru Viru Intl,Santa Cruz,Bolivia
OC,Catovair,Mauritius,8.0,0.0,0.0,1,2313.0,Nagasaki,Nagasaki,Japan
OD,Malindo Air,Malaysia,28.0,12.0,6.0,5,3304.0,Kuala Lumpur Intl,Kuala Lumpur,Malaysia
OJ,Overland Airways,Nigeria,0.0,6.0,2.0,4,1779.0,Norman Manley Intl,Kingston,Jamaica
OK,Czech Airlines,Czech Republic,63.0,38.0,10.0,29,1587.0,Ruzyne,Prague,Czech Republic
OM,MIAT Mongolian Airlines,Mongolia,2.0,6.0,4.0,7,3380.0,Chinggis Khaan Intl,Ulan Bator,Mongolia
ON,Nauru Air Corporation,Nauru,6.0,0.0,2.0,4,4076.0,Nauru Intl,Nauru,Nauru
OR,Arkefly,Netherlands,9.0,0.0,15.0,8,580.0,Schiphol,Amsterdam,Netherlands
OS,Austrian Airlines,Austria,172.0,40.0,28.0,53,1613.0,Schwechat,Vienna,Austria
OU,Croatia Airlines,Croatia,106.0,6.0,0.0,17,1208.0,Zagreb,Zagreb,Croatia
OV,Estonian Air,Estonia,20.0,6.0,0.0,11,415.0,Tallinn,Tallinn-ulemiste International,Estonia
OX,Orient Thai Airlines,Thailand,2.0,4.0,0.0,3,3157.0,Don Muang Intl,Bangkok,Thailand
OY,Omni Air International,United States,4.0,0.0,0.0,1,2442.0,Aeroparque Jorge Newbery,Buenos Aires,Argentina
OZ,Asiana Airlines,Republic of Korea,142.0,49.0,70.0,35,3930.0,Incheon Intl,Seoul,South Korea
P0,Proflight Commuter Services,Zambia,14.0,0.0,0.0,2,907.0,Lusaka Intl,Lusaka,Zambia
P4,Patriot Airways,United States,21.0,0.0,0.0,3,1771.0,Goloson Intl,La Ceiba,Honduras
P9,Peruvian Airlines,Peru,16.0,0.0,0.0,1,2789.0,Jorge Chavez Intl,Lima,Peru
PC,Pegasus Airlines,Turkey,144.0,92.0,6.0,32,4317.0,Sabiha Gokcen,Istanbul,Turkey
PD,Porter Airlines,Canada,34.0,0.0,0.0,2,144.0,City Centre,Toronto,Canada
PE,Air Europe,Italy,2.0,0.0,0.0,2,1613.0,Schwechat,Vienna,Austria
PG,Bangkok Airways,Thailand,54.0,9.0,12.0,14,3885.0,Suvarnabhumi Intl,Bangkok,Thailand
PI,Piedmont Airlines (1948-1989),United States,6.0,2.0,0.0,1,2923.0,Yakutsk,Yakutsk,Russia
PJ,Air Saint Pierre,France,6.0,0.0,0.0,2,1441.0,St Pierre,St.-pierre,Saint Pierre and Miquelon
PK,Pakistan International Airlines,Pakistan,113.0,69.0,60.0,23,2223.0,Chaklala,Islamabad,Pakistan
PL,Aeroper,Peru,14.0,0.0,0.0,1,1953.0,Lynden Pindling Intl,Nassau,Bahamas
PM,Tropic Air,Belize,14.0,0.0,0.0,3,1054.0,Gran Canaria,Gran Canaria,Spain
PN,West Air China,China,76.0,14.0,0.0,1,3393.0,Jiangbei,Chongqing,China
PQ,LSM Airlines,Russia,6.0,0.0,0.0,1,2397.0,Ninoy Aquino Intl,Manila,Philippines
PR,Philippine Airlines,Philippines,70.0,36.0,38.0,20,2397.0,Ninoy Aquino Intl,Manila,Philippines
PS,Ukraine International Airlines,Ukraine,62.0,51.0,14.0,29,2939.0,Boryspil Intl,Kiev,Ukraine
PV,PAN Air,Spain,6.0,0.0,0.0,4,6460.0,Saint Barthelemy,Gustavia,France
PW,Precision Air,Tanzania,29.0,0.0,0.0,4,1177.0,Mwalimu Julius K Nyerere Intl,Dar Es Salaam,Tanzania
PX,Air Niugini,Papua New Guinea,74.0,8.0,14.0,9,5.0,Port Moresby Jacksons Intl,Port Moresby,Papua New Guinea
PY,Surinam Airways,Suriname,12.0,4.0,4.0,9,2773.0,Johan A Pengel Intl,Zandery,Suriname
PZ,TAM Mercosur,Paraguay,10.0,8.0,0.0,6,2699.0,Silvio Pettirossi Intl,Asuncion,Paraguay
Q2,Maldivian,Maldives,22.0,2.0,0.0,4,3156.0,Male Intl,Male,Maldives
Q3,SOCHI AIR CHATER,Russia,2.0,0.0,0.0,2,2899.0,Princess Juliana Intl,Philipsburg,Netherlands Antilles
Q5,40-Mile Air,United States,2.0,0.0,0.0,1,3832.0,Fairbanks Intl,Fairbanks,United States
Q6,Aero Condor Peru,Peru,58.0,0.0,0.0,1,3322.0,Cairns Intl,Cairns,Australia
Q8,Pacific East Asia Cargo Airlines,Philippines,10.0,4.0,0.0,4,886.0,Pointe Noire,Pointe-noire,Congo (Brazzaville)
Q9,Arik Niger,Niger,20.0,0.0,0.0,1,202.0,Sept Iles,Sept-iles,Canada
QB,Georgian National Airlines,Georgia,10.0,0.0,0.0,2,2109.0,Kish Island,Kish Island,Iran
QC,Camair-co,Cameroon,23.0,0.0,2.0,9,897.0,Douala,Douala,Cameroon
QF,Qantas,Australia,186.0,81.0,163.0,37,3361.0,Sydney Intl,Sydney,Australia
QG,Citilink Indonesia,Indonesia,54.0,4.0,0.0,2,3275.0,Soekarno Hatta Intl,Jakarta,Indonesia
QH,Air Florida,United States,10.0,18.0,6.0,5,2912.0,Manas,Bishkek,Kyrgyzstan
QL,Aero Lanka,Sri Lanka,14.0,0.0,0.0,2,2851.0,Simon Bolivar Intl,Caracas,Venezuela
QN,Air Armenia,Armenia,2.0,12.0,2.0,4,3964.0,Zvartnots,Yerevan,Armenia
QR,Qatar Airways,Qatar,81.0,51.0,145.0,71,2241.0,Doha Intl,Doha,Qatar
QS,Travel Service,Czech Republic,50.0,11.0,6.0,20,1587.0,Ruzyne,Prague,Czech Republic
QU,East African,Uganda,4.0,0.0,0.0,2,2988.0,Vnukovo,Moscow,Russia
QV,Lao Airlines,Lao Peoples Democratic Republic,42.0,2.0,2.0,7,3120.0,Wattay Intl,Vientiane,Laos
QZ,Indonesia AirAsia,Indonesia,42.0,20.0,0.0,5,3940.0,Bali Ngurah Rai,Denpasar,Indonesia
R2,Orenburg Airlines,Russia,4.0,5.0,0.0,2,2991.0,Orenburg,Orenburg,Russia
R3,Aircompany Yakutia,Russia,29.0,32.0,14.0,9,2923.0,Yakutsk,Yakutsk,Russia
R7,Aserca Airlines,Venezuela,26.0,0.0,0.0,2,2851.0,Simon Bolivar Intl,Caracas,Venezuela
RA,Nepal Airlines,Nepal,0.0,4.0,4.0,5,3125.0,Tribhuvan Intl,Kathmandu,Nepal
RC,Atlantic Airways,Faroe Islands,9.0,0.0,0.0,3,625.0,Vagar,Vagar,Faroe Islands
RG,VRG Linhas Aereas,Brazil,10.0,0.0,0.0,1,2180.0,Bateen,Abu Dhabi,United Arab Emirates
RI,Mandala Airlines,Indonesia,10.0,4.0,2.0,4,3275.0,Soekarno Hatta Intl,Jakarta,Indonesia
RJ,Royal Jordanian,Jordan,50.0,40.0,30.0,38,2170.0,Queen Alia Intl,Amman,Jordan
RL,Royal Falcon,Jordan,7.0,0.0,0.0,4,2170.0,Queen Alia Intl,Amman,Jordan
RO,Tarom,Romania,62.0,28.0,2.0,25,1657.0,Henri Coanda,Bucharest,Romania
RQ,Kam Air,Afghanistan,3.0,2.0,0.0,4,2050.0,Kabul Intl,Kabul,Afghanistan
RX,Rainbow Air Polynesia,United States,14.0,6.0,0.0,5,3076.0,Zia Intl,Dhaka,Bangladesh
RZ,Euro Exec Express,Sweden,17.0,0.0,0.0,1,1885.0,Juan Santamaria Intl,San Jose,Costa Rica
S2,Air Sahara,India,172.0,8.0,0.0,1,2997.0,Chhatrapati Shivaji Intl,Mumbai,India
S3,Santa Barbara Airlines,Venezuela,2.0,2.0,2.0,4,2851.0,Simon Bolivar Intl,Caracas,Venezuela
S4,SATA International,Portugal,37.0,29.0,15.0,11,1638.0,Lisboa,Lisbon,Portugal
S5,Shuttle America,United States,14.0,0.0,0.0,1,2584.0,Maraba,Maraba,Brazil
S6,Salmon Air,United States,6.0,0.0,0.0,3,1895.0,Cap Haitien Intl,Cap Haitien,Haiti
S7,S7 Airlines,Russia,82.0,128.0,71.0,31,4029.0,Domododevo,Moscow,Russia
S9,Starbow Airlines,Ghana,8.0,0.0,0.0,2,248.0,Kotoka Intl,Accra,Ghana
SA,South African Airways,South Africa,114.0,35.0,53.0,42,813.0,Johannesburg Intl,Johannesburg,South Africa
SB,Air Caledonie International,France,10.0,6.0,6.0,8,2005.0,La Tontouta,Noumea,New Caledonia
SC,Shandong Airlines,China,276.0,34.0,4.0,5,3390.0,Liuting,Qingdao,China
SD,Sudan Airways,Sudan,20.0,14.0,0.0,10,1175.0,Khartoum,Khartoum,Sudan
SE,XL Airways France,France,10.0,2.0,20.0,11,1382.0,Charles De Gaulle,Paris,France
SG,Spicejet,India,178.0,16.0,0.0,7,3093.0,Indira Gandhi Intl,Delhi,India
SH,Sharp Airlines,Australia,10.0,0.0,0.0,1,3337.0,Launceston,Launceston,Australia
SI,Skynet Airlines,Ireland,20.0,0.0,0.0,6,499.0,Jersey,Jersey,Jersey
SJ,Sriwijaya Air,Indonesia,94.0,12.0,0.0,2,3275.0,Soekarno Hatta Intl,Jakarta,Indonesia
SK,Scandinavian Airlines System,Sweden,344.0,114.0,46.0,42,609.0,Kastrup,Copenhagen,Denmark
SN,Brussels Airlines,Belgium,111.0,32.0,47.0,50,302.0,Brussels Natl,Brussels,Belgium
SP,SATA Air Acores,Portugal,28.0,0.0,0.0,1,1629.0,Lajes,Lajes (terceira Island),Portugal
SQ,Singapore Airlines,Singapore,59.0,47.0,106.0,38,3316.0,Changi Intl,Singapore,Singapore
SS,Corsairfly,France,11.0,0.0,19.0,13,1386.0,Orly,Paris,France
ST,Germania,Germany,24.0,46.0,26.0,15,353.0,Neuenland,Bremen,Germany
SU,Aeroflot Russian Airlines,Russia,145.0,216.0,112.0,57,2985.0,Sheremetyevo,Moscow,Russia
SV,Saudi Arabian Airlines,Saudi Arabia,180.0,68.0,131.0,37,2072.0,King Abdulaziz Intl,Jeddah,Saudi Arabia
SW,Air Namibia,Namibia,27.0,4.0,4.0,8,4105.0,Windhoek Hosea Kutako International Airport ,Windhoek,Namibia
SX,SkyWork Airlines ,Switzerland,24.0,0.0,0.0,7,1676.0,Bern Belp,Bern,Switzerland
SY,Sun Country Airlines,United States,10.0,26.0,2.0,3,3858.0,Minneapolis St Paul Intl,Minneapolis,United States
SZ,Salzburg arrows,Austria,2.0,36.0,10.0,7,2979.0,Dushanbe,Dushanbe,Tajikistan
T3,Eastern Airways,United Kingdom,32.0,0.0,0.0,3,532.0,Dyce,Aberdeen,United Kingdom
T5,Turkmenistan Airlines,Turkmenistan,2.0,8.0,6.0,7,2976.0,Ashgabat,Ashkhabad,Turkmenistan
T7,Twin Jet,France,24.0,0.0,0.0,3,1353.0,Provence,Marseille,France
TA,Grupo TACA,Costa Rica,4.0,2.0,8.0,6,2789.0,Jorge Chavez Intl,Lima,Peru
TCX,Thomas Cook Airlines,United Kingdom,5.0,58.0,62.0,12,478.0,Manchester,Manchester,United Kingdom
TD,Atlantis European Airways,Armenia,0.0,4.0,0.0,3,3964.0,Zvartnots,Yerevan,Armenia
TE,FlyLal,Lithuania,11.0,0.0,0.0,1,2612.0,Santos Dumont,Rio De Janeiro,Brazil
TF,Malmö Aviation,Sweden,36.0,0.0,0.0,5,738.0,Bromma,Stockholm,Sweden
TG,Thai Airways International,Thailand,64.0,46.0,83.0,46,3885.0,Suvarnabhumi Intl,Bangkok,Thailand
TJ,T.J. Air,United States,14.0,0.0,0.0,7,2890.0,Luis Munoz Marin Intl,San Juan,Puerto Rico
TK,Turkish Airlines,Turkey,313.0,212.0,127.0,110,1701.0,Ataturk,Istanbul,Turkey
TL,Airnorth,Australia,27.0,6.0,0.0,2,3999.0,Darwin Intl,Darwin,Australia
TM,Air Mozambique,Mozambique,48.0,6.0,0.0,5,979.0,Maputo,Maputo,Mozambique
TN,Air Tahiti Nui,France,3.0,6.0,8.0,8,2006.0,Auckland Intl,Auckland,New Zealand
TO,Transavia France,France,97.0,285.0,106.0,21,502.0,Gatwick,London,United Kingdom
TOM,Thomsonfly,United Kingdom,9.0,73.0,57.0,15,478.0,Manchester,Manchester,United Kingdom
TP,TAP Portugal,Portugal,71.0,83.0,75.0,37,1638.0,Lisboa,Lisbon,Portugal
TR,Tiger Airways,Singapore,26.0,34.0,16.0,16,3316.0,Changi Intl,Singapore,Singapore
TS,Air Transat,Canada,13.0,40.0,85.0,16,146.0,Pierre Elliott Trudeau Intl,Montreal,Canada
TT,Tiger Airways Australia,Australia,22.0,18.0,2.0,1,3339.0,Melbourne Intl,Melbourne,Australia
TU,Tunisair,Tunisia,75.0,60.0,16.0,27,287.0,Carthage,Tunis,Tunisia
TV,Virgin Express,Belgium,30.0,12.0,0.0,1,4097.0,Lhasa-Gonggar,Lhasa,China
TW,Tway Airlines,South Korea,14.0,0.0,2.0,5,3930.0,Incheon Intl,Seoul,South Korea
TX,Air Caraïbes,France,14.0,0.0,14.0,11,1386.0,Orly,Paris,France
TY,Iberworld,Spain,23.0,0.0,0.0,1,2001.0,Magenta,Noumea,New Caledonia
TZ,Scoot,Singapore,6.0,4.0,14.0,8,3316.0,Changi Intl,Singapore,Singapore
U2,easyJet,United Kingdom,710.0,364.0,56.0,35,502.0,Gatwick,London,United Kingdom
U6,Ural Airlines,Russia,33.0,145.0,54.0,18,4029.0,Domododevo,Moscow,Russia
U7,Northern Dene Airways,Canada,16.0,0.0,0.0,7,1187.0,Entebbe Intl,Entebbe,Uganda
UA,United Airlines,United States,1153.0,488.0,539.0,97,3550.0,George Bush Intercontinental,Houston,United States
UD,Hex'Air,France,2.0,0.0,0.0,1,1313.0,Loudes,Le Puy,France
UE,Nasair,Eritrea,11.0,5.0,0.0,8,3967.0,Asmara Intl,Asmara,Eritrea
UG,Tuninter,Tunisia,24.0,0.0,0.0,4,287.0,Carthage,Tunis,Tunisia
UJ,AlMasria Universal Airlines,Egypt,28.0,4.0,0.0,6,2939.0,Boryspil Intl,Kiev,Ukraine
UL,SriLankan Airlines,Sri Lanka,26.0,22.0,43.0,26,3024.0,Bandaranaike Intl Colombo,Colombo,Sri Lanka
UM,Air Zimbabwe,Zimbabwe,12.0,0.0,0.0,2,813.0,Johannesburg Intl,Johannesburg,South Africa
UN,Transaero Airlines,Russia,68.0,104.0,128.0,38,4029.0,Domododevo,Moscow,Russia
UO,Hong Kong Express Airways,Hong Kong SAR of China,4.0,16.0,0.0,7,3077.0,Hong Kong Intl,Hong Kong,Hong Kong
UP,Bahamasair,Bahamas,52.0,6.0,0.0,5,1953.0,Lynden Pindling Intl,Nassau,Bahamas
UR,UTair-Express,Russia,74.0,0.0,0.0,2,4111.0,Roschino,Tyumen,Russia
US,US Airways,United States,1105.0,479.0,376.0,65,3670.0,Dallas Fort Worth Intl,Dallas-Fort Worth,United States
UU,Air Austral,France,14.0,6.0,4.0,9,916.0,St Denis Gillot,St.-denis,Reunion
UX,Air Europa,Spain,84.0,34.0,40.0,25,1229.0,Barajas,Madrid,Spain
UY,Cameroon Airlines,Cameroon,4.0,0.0,0.0,2,3973.0,Tbilisi,Tbilisi,Georgia
V0,Conviasa,Venezuela,70.0,4.0,4.0,11,2851.0,Simon Bolivar Intl,Caracas,Venezuela
V3,Carpatair,Romania,6.0,0.0,0.0,3,1555.0,Fiumicino,Rome,Italy
V4,Reem Air,Kyrgyzstan,2.0,0.0,0.0,1,2890.0,Luis Munoz Marin Intl,San Juan,Puerto Rico
V7,Air Senegal International,Senegal,128.0,8.0,0.0,6,1418.0,Nantes Atlantique,Nantes,France
V9,Star1 Airlines,Lithuania,8.0,0.0,0.0,2,520.0,Isle Of Man,Isle Of Man,Isle of Man
VA,Virgin Australia,Australia,133.0,88.0,67.0,24,3320.0,Brisbane Intl,Brisbane,Australia
VB,Birmingham European,United Kingdom,98.0,4.0,0.0,2,1825.0,General Mariano Escobedo Intl,Monterrey,Mexico
VF,Valuair,Singapore,4.0,2.0,0.0,2,3316.0,Changi Intl,Singapore,Singapore
VH,Virgin Pacific,Fiji,12.0,0.0,0.0,1,2851.0,Simon Bolivar Intl,Caracas,Venezuela
VJ,Royal Air Cambodge,Cambodia,34.0,0.0,0.0,2,3205.0,Tansonnhat Intl,Ho Chi Minh City,Vietnam
VN,Vietnam Airlines,Vietnam,128.0,42.0,41.0,21,3205.0,Tansonnhat Intl,Ho Chi Minh City,Vietnam
VQ,Viking Hellas,Greece,8.0,0.0,0.0,1,3076.0,Zia Intl,Dhaka,Bangladesh
VR,TACV,Portugal,20.0,10.0,8.0,7,5674.0,Praia International Airport,"Praia, Santiago Island",Cape Verde
VS,Virgin Atlantic Airways,United Kingdom,85.0,24.0,86.0,21,3682.0,Hartsfield Jackson Atlanta Intl,Atlanta,United States
VT,Air Tahiti,French Polynesia,92.0,1.0,0.0,2,4075.0,Faa\\'a International,Papeete,French Polynesia
VW,Aeromar,Mexico,42.0,0.0,0.0,2,1824.0,Licenciado Benito Juarez Intl,Mexico City,Mexico
VX,Virgin America,United States,14.0,16.0,36.0,2,3469.0,San Francisco Intl,San Francisco,United States
VY,Formosa Airlines,Taiwan,290.0,80.0,14.0,28,1218.0,Barcelona,Barcelona,Spain
W2,Maastricht Airlines,Netherlands,34.0,16.0,12.0,16,737.0,Arlanda,Stockholm,Sweden
W3,Arik Air,Nigeria,56.0,6.0,6.0,12,273.0,Murtala Muhammed,Lagos,Nigeria
W4,AeroWorld ,Russia,10.0,0.0,0.0,1,2789.0,Jorge Chavez Intl,Lima,Peru
W5,Mahan Air,Iran,6.0,8.0,10.0,10,4330.0,Imam Khomeini,Tehran,Iran
W6,Wizz Air,Hungary,293.0,158.0,6.0,33,1657.0,Henri Coanda,Bucharest,Romania
W9,Air Bagan,Myanmar,29.0,0.0,0.0,2,3239.0,Yangon Intl,Yangon,Burma
WB,Rwandair Express,Rwanda,24.0,6.0,10.0,15,1165.0,Kigali Intl,Kigali,Rwanda
WF,Widerøe,Norway,210.0,0.0,0.0,4,636.0,Flesland,Bergen,Norway
